user_id,item_id,buy,shopcar,Sales_3,Sales_7,active_ratio,buy_ratio,buy_day
11,21,12,1,19,19,6.394884092725819e-06,0.5
11,22,1,0,1,1,6.394884092725819e-06,0.5
10,21,12,1,19,19,6.394884092725819e-06,0.5
13,24,0,0,1,1,0.0,0.0
13,21,12,1,19,19,0.0,0.0
12,21,12,1,19,19,1.2789768185451638e-05,1.0
12,23,1,0,1,1,1.2789768185451638e-05,1.0
14,25,0,0,1,1,6.394884092725819e-06,0.5
14,21,12,1,19,19,6.394884092725819e-06,0.5
1,26,1,0,1,1,6.394884092725819e-06,0.3333333333333333
1,21,12,1,19,19,6.394884092725819e-06,0.3333333333333333
3,21,12,1,19,19,1.2789768185451638e-05,0.6666666666666666
3,28,1,0,1,1,1.2789768185451638e-05,0.6666666666666666
2,27,1,0,1,1,1.2789768185451638e-05,0.6666666666666666
2,21,12,1,19,19,1.2789768185451638e-05,0.6666666666666666
5,21,12,1,19,19,1.918465227817746e-05,1.0
5,30,1,0,1,1,1.918465227817746e-05,1.0
4,21,12,1,19,19,1.2789768185451638e-05,0.6666666666666666
4,29,1,0,1,1,1.2789768185451638e-05,0.6666666666666666
7,21,12,1,19,19,1.2789768185451638e-05,1.0
7,32,1,0,1,1,1.2789768185451638e-05,1.0
6,21,12,1,19,19,6.394884092725819e-06,0.5
6,31,0,0,1,1,6.394884092725819e-06,0.5
9,21,12,1,19,19,6.394884092725819e-06,0.5
8,21,12,1,19,19,6.394884092725819e-06,0.5
8,33,0,0,1,1,6.394884092725819e-06,0.5
